"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
12,18,17,11,12,17,14,10,9,10,13,19,14,16,18,13,13,12,15,12,5,14,14,17,8,18,16,16,10,16,14,17,14,16,13,15,18,12,13,13
9,4,5,10,10,6,7,12,12,11,8,5,9,6,4,9,11,9,7,9,16,8,8,5,13,4,5,6,11,6,8,6,8,6,9,6,5,10,8,9
0.0571428571428571,0.0857142857142857,0.080952380952381,0.0523809523809524,0.0571428571428571,0.080952380952381,0.0666666666666667,0.0476190476190476,0.0428571428571429,0.0476190476190476,0.0619047619047619,0.0904761904761905,0.0666666666666667,0.0761904761904762,0.0857142857142857,0.0619047619047619,0.0619047619047619,0.0571428571428571,0.0714285714285714,0.0571428571428571,0.0238095238095238,0.0666666666666667,0.0666666666666667,0.080952380952381,0.0380952380952381,0.0857142857142857,0.0761904761904762,0.0761904761904762,0.0476190476190476,0.0761904761904762,0.0666666666666667,0.080952380952381,0.0666666666666667,0.0761904761904762,0.0619047619047619,0.0714285714285714,0.0857142857142857,0.0571428571428571,0.0619047619047619,0.0619047619047619
1.14285714285714,1.71428571428571,1.61904761904762,1.04761904761905,1.14285714285714,1.61904761904762,1.33333333333333,0.952380952380952,0.857142857142857,0.952380952380952,1.23809523809524,1.80952380952381,1.33333333333333,1.52380952380952,1.71428571428571,1.23809523809524,1.23809523809524,1.14285714285714,1.42857142857143,1.14285714285714,0.476190476190476,1.33333333333333,1.33333333333333,1.61904761904762,0.761904761904762,1.71428571428571,1.52380952380952,1.52380952380952,0.952380952380952,1.52380952380952,1.33333333333333,1.61904761904762,1.33333333333333,1.52380952380952,1.23809523809524,1.42857142857143,1.71428571428571,1.14285714285714,1.23809523809524,1.23809523809524
0.963624111659432,1.14642300844222,1.16086995293144,0.864649667564296,1.01418510567422,1.28359613882991,0.912870929175277,0.973457265430305,0.792824967172092,0.669043382464133,1.09108945117996,1.28914885172534,1.15470053837925,1.28914885172534,1.18923745075814,0.830948969838817,1.33808676492827,0.853563956930837,1.247855302967,1.06234242529018,0.679635756787974,1.15470053837925,0.966091783079296,0.804747816162957,0.889087279447969,1.23056316956332,1.07791686224159,1.24976188208185,0.740012869900955,1.36451631060415,1.27801930084539,1.2440333788203,1.01653004546513,1.03048763306736,1.13599128098599,0.978336781043653,1.18923745075814,1.19522860933439,1.22085060121056,0.995226703056239
0,0.115384615384615,0.125,0,0.25,0,0,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.125,0,0.111111111111111,0.142857142857143,0,0,0,0,0,0.111111111111111,0.1875,0,0.230769230769231
0,0.0757575757575757,0.15,0,0.208333333333333,0,0,0.428571428571429,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.0851851851851852,0,0.0814814814814815,0.180952380952381,0,0,0,0,0,0.180555555555556,0.428571428571429,0,0.238095238095238
17.952380952381,8.44761904761905,13.9095238095238,18.1428571428571,17.9047619047619,11.9238095238095,17.8095238095238,18.7571428571429,19.1952380952381,19.6,15.0904761904762,9.35714285714286,17.6428571428571,10.8380952380952,8.12857142857143,18.6,16.8904761904762,18.3666666666667,12.1571428571429,17.9285714285714,20.2571428571429,14.1857142857143,17.6619047619048,16.2809523809524,18.947619047619,8.16666666666667,11.1047619047619,13.8095238095238,19.5095238095238,11.9571428571429,16.7666666666667,13.6571428571429,15.2904761904762,13.0380952380952,14.4285714285714,14.8190476190476,9.66190476190476,16.7761904761905,15.1571428571429,18.0142857142857
1.9047619047619,20.1904761904762,6.23809523809524,1.9047619047619,2.38095238095238,10.1904761904762,1.42857142857143,1.38095238095238,1,0.285714285714286,6.61904761904762,13.0952380952381,1.66666666666667,12.6666666666667,17,0.761904761904762,2.71428571428571,1.28571428571429,11.5714285714286,1.66666666666667,0.19047619047619,7.09523809523809,1.85714285714286,3.28571428571429,1.38095238095238,17.3809523809524,16.2857142857143,8.09523809523809,0.333333333333333,10.5238095238095,2.42857142857143,6.57142857142857,7.66666666666667,9.90476190476191,8.57142857142857,7.71428571428571,16.1428571428571,3.47619047619048,6.33333333333333,1.57142857142857
9,92,38,14,12,52.5,9,11,6,2,41,46.6666666666667,11,51,79,5,21.5,11,53,18,2,41,11,12,11,80,63,37,2,75,21,42,35,54,31,34,73,24,35,9
0.00282867299717374,0.00716351510362938,0.00382888035686581,0.0028331063923786,0.00286504070087066,0.00494257883864949,0.00283744838017979,0.00271580071691396,0.00263318841518765,0.00255792454960977,0.00362104702467984,0.00659035008924349,0.0028873935930458,0.0055611394771305,0.00756056958548134,0.00271392405127243,0.0031530922315548,0.00276562437598814,0.00483442093519772,0.00286371150992264,0.00247629471574502,0.00397238138655403,0.00286980999727595,0.00312219173983744,0.00269133479019239,0.0074955417832976,0.00528497628042817,0.0039961348214275,0.00257039479534033,0.00492209129716217,0.00308996329781957,0.00406863238979403,0.00356498388849806,0.00435284217478907,0.00389373359888117,0.00363108927609573,0.00627879728158552,0.00315393754086122,0.00361735107444032,0.00282260731346938
